NODE_NM,위도,경도
문성고,35.12216667,126.9070639
문성고,35.122125,126.9071333
진월저수지(서),35.113249,126.903723
효덕동행정복지센터,35.11215278,126.9005139
효덕동행정복지센터,35.11208333,126.898125
봉선삼익아파트(북),35.12587218,126.9132771
도동교,35.10013333,126.8780833
도동,35.09990833,126.8855667
산수무등파크,35.15697778,126.9396528
목련마을6단지,35.17675,126.8176694
운림중,35.132085,126.943161
동산마을입구,35.13229444,126.9448194
운림중,35.13226111,126.9424167
살레시오고입구,35.21504722,126.9001972
운암벽산블루밍,35.17713611,126.8782972
운암3단지,35.17821111,126.8772056
운암3단지,35.17910833,126.8755417
운암중,35.18116389,126.8736639
운암중,35.18189722,126.8727194
운천역,35.150297,126.85656
운천역,35.150195,126.857816
운천저수지,35.148074,126.856656
운천저수지,35.149152,126.856017
운천초교,35.15344722,126.8472778
첨단라인8차아파트,35.21503333,126.8344972
원광대한방병원,35.12913611,126.8850639
원광대한방병원,35.12952222,126.8852778
금당중,35.13049167,126.8873056
금당중,35.13079167,126.8874806
산막,35.1983,126.7670833
평동역(서),35.12493889,126.7674333
원지리,35.00851389,126.9571806
무등산국립공원(원효사),35.14639722,126.9871278
무등산국립공원(원효사),35.14668889,126.9870306
월계중,35.21849722,126.8325
장성월곡,35.24110556,126.8153194
영천초교,35.17188889,126.8120333
월곡2동행정복지센터,35.17232222,126.8057167
월곡2동행정복지센터,35.17219167,126.8058306
월곡일신아파트,35.16798333,126.8090583
월곡일신아파트,35.16753056,126.8088806
월곡시장,35.17118889,126.8093917
월곡시장,35.17148889,126.8092694
월드컵경기장,35.13566389,126.8741389
월드컵경기장,35.13583889,126.8740167
월봉서원입구,35.23632222,126.7381056
월산(석곡),35.20945833,126.9500639
월산(석곡),35.21053056,126.9495833
월산(삼각동),35.20457222,126.9014861
월산(본량),35.19837778,126.6813028
월산4동,35.14419167,126.8916639
월산4동,35.14523889,126.8905194
월산5동,35.141367,126.8939
월산5동,35.14219444,126.8928306
월산마을,35.142138,126.888032
월산마을,35.14205278,126.8882
월산(삼각동),35.20432222,126.90135
월산마을입구,35.14359444,126.8907917
월산마을입구,35.14362222,126.8907167
용호(북구),35.21047222,126.9449528
용호(북구),35.210975,126.9456472
월산초교,35.1469,126.8977861
월산초교,35.14707778,126.89755
월암,35.14098611,126.8372222
월정(장성),35.23820278,126.8180028
월정,35.24446667,126.8637972
월산치안센터,35.14840556,126.9049278
월산치안센터,35.14831389,126.9052861
일곡현대3차아파트,35.21094167,126.9010444
유격훈련장,35.21203056,126.9011889
유덕초교,35.164725,126.8634028
유안초교,35.12595833,126.9162583
유안초교,35.12587778,126.9162639
유창아파트,35.176975,126.8972056
유창아파트,35.17711111,126.8970389
극락초교,35.16642778,126.8583611
극락초교,35.16653056,126.8583972
은혜학교,35.233175,126.8500833
은혜학교,35.232625,126.85015
이십곡리,35.06916667,126.9752361
봉선무등파크3차,35.12390556,126.9183167
봉선무등파크3차,35.12396389,126.9184167
장등마을,35.21511111,126.9297056
변전소,35.20656667,126.9314361
계림초교후문,35.16055833,126.9239306
지산입구,35.23342651,126.8893446
지산초교,35.22948657,126.8853327
지산중,35.21648889,126.8811778
지산중,35.21630278,126.8814056
분토(북구),35.19740278,126.9534444
단전,35.18349,126.797043
전남방직,35.160944,126.893999
전남방직,35.16058611,126.8942778
흑석사거리(동),35.180088,126.810953
흑석사거리(서),35.180028,126.806694
금호전기,35.206729,126.804616
세방전지,35.18835,126.7949194
광산소방서입구,35.185215,126.79499
세방전지,35.188375,126.7951028
금호전기,35.206577,126.804356
첨단대우아파트,35.220243,126.831546
신용마을,35.2446,126.8818167
금당,35.24077778,126.8692306
석수정,35.24186667,126.872175
석수정,35.24182778,126.8722194
용전사거리(북),35.236655,126.893401
한양아파트,35.1979,126.8752056
상선,35.11905833,126.7804278
서작,35.15617222,126.8133611
화순역,35.052275,126.9621917
동면,35.03070556,127.0420194
다도초교,34.99941389,126.8205417
다도초교,34.99938333,126.8206944
산림자원연구소,35.00705833,126.8199083
하칠석/고싸움전수관,35.06961111,126.8352556
평산리,35.05676944,126.834975
산림자원연구소,35.00706111,126.8198417
오강리,35.22841389,127.0051583
교산,35.22506111,126.9846083
원천리,35.27879722,126.8943361
강의리,35.26609722,126.9028194
태목,35.26191111,126.8974472
용전사거리(남),35.235586,126.894131
태목,35.26187778,126.8975
강의리,35.26608611,126.9028722
원천리,35.27880833,126.8943806
대전파출소(남),35.27680278,126.8885972
산수오거리,35.15562222,126.9317722
산수오거리(연천),35.15640833,126.9313917
선평선창마을입구,35.24616111,126.7783194
선평선창마을입구,35.24619167,126.7784778
승가마을,35.23709444,126.7949361
승가마을,35.23709444,126.7947222
학산,35.26555,126.864325
학산,35.265575,126.8644222
