학교명,주소,위도,경도
사랑숲유치원,광주광역시 동구 화산로238번길 9. 사랑숲유치원 (용산동),35.1161202,126.9219141
광주교육대학교광주부설초등학교,광주광역시 북구 필문대로 55(풍향동. 광주교육대학교광주부설초등학교),35.1646742,126.9257933
용두초등학교,광주광역시 북구 임방울대로1041번길 25. 용두초등학교 (신용동),35.2148633,126.8708481
건국초등학교,광주광역시 북구 첨단연신로108번길 86. 건국초등학교 (신용동),35.2104596,126.8660439
각화초등학교,광주광역시 북구 각화대로39번길 10. (각화동. 각화초등학교) (각화동),35.1822157,126.9361404
경양초등학교,광주광역시 북구 북문대로98번길 20. 경양초등학교 (운암동),35.1802378,126.8782648
광주계림초등학교,광주광역시 동구 중앙로 320(계림동),35.1600652,126.9213664
광주남초등학교,광주광역시 동구 지원로5번길 20(소태동. 광주남초등학교),35.1262498,126.9331932
광주동초등학교,광주광역시 북구 석곡로 527(망월동.광주동초등학교),35.2058302,126.9508232
광주동산초등학교,광주광역시 동구 준법로 16. 광주동산초등학교 (지산동),35.1488258,126.9349269
광주동운초등학교,광주광역시 북구 북문대로8번길 21(운암동.동운초등학교),35.1750441,126.8846532
광주문화초등학교,광주광역시 북구 군왕로 135. 광주문화초등학교 (두암동),35.1737797,126.9318419
광주북초등학교,광주광역시 북구 하서로 985. 광주북초등학교 (효령동),35.2463498,126.9145289
광주산수초등학교,광주광역시 동구 산수길 28. 광주산수초등학교 (산수동),35.1557847,126.9281984
광주서림초등학교,광주광역시 북구 서림로 113. 광주서림초등학교 (임동),35.1628236,126.8994021
문흥중앙초등학교,광주광역시 북구 문산로 17. 문흥중앙초등학교 (문흥동),35.1839325,126.9210662
광주서산초등학교,광주광역시 북구 우치로 263(오치동),35.1914707,126.9087447
광주서석초등학교,광주광역시 동구 제봉로82번길 26(서석동),35.1471692,126.9247356
광주수창초등학교,광주광역시 북구 금남로 99(북동),35.1568562,126.9066444
광주양산초등학교,광주광역시 북구 연양로 33(양산동)양산초등학교,35.2071789,126.871487
광주용봉초등학교,광주광역시 북구 서암대로144번길 11(신안동),35.1689271,126.9002577
광주용산초등학교,광주광역시 동구 화산로 334(용산동),35.1188668,126.9315912
광주우산초등학교,광주광역시 북구 서방로63번길 67(우산동),35.1758633,126.9205112
지한초등학교,광주광역시 동구 남계길 37(내남동),35.0930579,126.9391953
광주운암초등학교,광주광역시 북구 서강로 79-14(운암동),35.1805208,126.870886
광주장원초등학교,광주광역시 동구 무등로 533(산수동. 장원초등학교),35.157459,126.9378677
광주동초등학교충효분교장,광주광역시 북구 충효샘길 14-30(충효동),35.181219,127.0026901
광주중앙초등학교,광주광역시 동구 제봉로 167(궁동),35.1506203,126.9184409
광주중흥초등학교,광주광역시 북구 경양로197번길 25(중흥동),35.1608015,126.9132826
광주지산초등학교,광주광역시 북구 하서로 637(지야동),35.2335558,126.8823325
광주풍향초등학교,광주광역시 북구 군왕로51번길 77(두암동. 풍향초등학교),35.167623,126.9277776
광주학운초등학교,광주광역시 동구 의재로 181. 광주학운초등학교 (운림동),35.1332445,126.9470928
광주효동초등학교,광주광역시 북구 서양로 99. 광주효동초등학교 (중흥동),35.1694988,126.9123678
대자초등학교,광주광역시 북구 대자로 5. 대자초등학교 (운암동),35.1735718,126.8727099
두암초등학교,광주광역시 북구 참판로 130(두암동),35.1696058,126.9340411
매곡초등학교,광주광역시 북구 초당로 25. 매곡초등학교 (매곡동),35.1943862,126.8942871
무등초등학교,광주광역시 북구 면앙로 99(우산동),35.1788702,126.9229328
문산초등학교,광주광역시 북구 문산로 66(문흥동),35.1871683,126.9251609
문흥초등학교,광주광역시 북구 면앙로 19. 문흥초등학교 (문흥동),35.1807419,126.9144112
문우초등학교,광주광역시 북구 능안로 7(오치동. 문우초등학교),35.1861544,126.9163722
본촌초등학교,광주광역시 북구 본촌택지로30번길 22. 본촌초등학교 (본촌동),35.2149028,126.8814725
연제초등학교,광주광역시 북구 하서로229번길 47(양산동),35.1963603,126.8737502
양지초등학교,광주광역시 북구 자라봉로63번길 16. 양지초등학교 (양산동),35.2085122,126.8811527
삼정초등학교,광주광역시 북구 밤실로208번길 55(두암동.삼정초등학교),35.1662467,126.9363342
오정초등학교,광주광역시 북구 대천로 55. 오정초등학교 (오치동),35.1855433,126.9119559
오치초등학교,광주광역시 북구 설죽로 290. 오치초등학교 (오치동),35.1852203,126.8992353
