,어린이집명,주소,위도,경도
120,레이나어린이집,"전라북도 전주시 완산구 삼천천변3길 20 103동 108호(삼천동1가, 호반리젠시빌)",35.7973625,127.1116158
121,로뎀나무어린이집,전라북도 전주시 덕진구 도당산로 48-5,35.8456315,127.1586636
122,롯데어린이집,전라북도 전주시 완산구 계룡산길 64 (삼천동2가),35.788612,127.1051107
123,루벤스어린이집,"전라북도 전주시 덕진구 추탄로 61 102동101호(덕진동,하가더루벤스아파트)",35.8458927,127.1092997
124,룸비니어린이집,전라북도 전주시 덕진구 가리내로 42-13,35.8345128,127.1305321
125,리움어린이집,전라북도 전주시 덕진구 만성동로 16 LH퍼스트리움 관리동 보육시설,35.8375713,127.0750936
126,리틀엔젤어린이집,"전라북도 전주시 덕진구 쪽구름로 13 103동 102호(여의동, 제일)",35.8675562,127.0776975
127,리틀영재어린이집,"전라북도 전주시 완산구 신촌3길 1 103동 102호(중화산동2가, 우성중산타운)",35.8165547,127.1176147
128,리틀키즈어린이집,전라북도 전주시 완산구 따박골로 13 (중화산동2가),35.810103,127.1242267
129,리틀피카소어린이집,전라북도 전주시 덕진구 호성동2가 호성로 170 진흥더블파크2차 306동104호,35.8660771,127.1456385
130,리틀하우스어린이집,"전라북도 전주시 덕진구 붓내3길 29 130동 102호(송천동2가, 주공아파트)",35.8680209,127.1252793
131,마미랑어린이집,"전라북도 전주시 완산구 용머리로 20-1 (효자동1가, 현대아파트 단지내)",35.80451550000001,127.112359
132,마미어린이집,"전라북도 전주시 완산구 온고을로 121 101동 102호(서신동, 광진)",35.83371899999999,127.108032
133,마주노리어린이집,"전라북도 전주시 완산구 용머리로 20 101동 104호(효자동1가, 현대아파트)",35.80451550000001,127.112359
134,맑은아이숲어린이집,"전라북도 전주시 완산구 삼천천변1길 45 202동 101호(삼천동1가, 흥건)",35.7943862,127.1158865
135,맘스어린이집,"전라북도 전주시 완산구 서신천변11길 22 102동 104호(서신동, 성원)",35.8306086,127.1113376
136,맘엔유어린이집,"전라북도 전주시 덕진구 아중로 176 303동 101호(인후동1가, 아중마을부영3차아파트)",35.8279709,127.166582
137,명운어린이집,전라북도 전주시 덕진구 인후동1가 동가재미2길 28-3,35.8334032,127.1640535
138,명재어린이집,전라북도 전주시 완산구 삼천천변2길 36-3 (삼천동1가),35.7961285,127.1141855
139,모세어린이집,"전라북도 전주시 덕진구 편운로 54-68 101동 118호(동산동, 우신동산)",35.8724568,127.0820757
140,무지개어린이집,"전라북도 전주시 덕진구 아중로 180 302동 107호(인후동1가, 아중마을부영3차아파트)",35.8279709,127.166582
