학교명,주소,위도,경도
바른뜰유치원,경상남도 창원시 진해구 경화로7번길 24-1(경화동),35.1540781,128.6837732
리라아름유치원,경상남도 창원시 성산구 원이대로883번길 3-32(가음동),35.2090663,128.6959253
개나리유치원,경상남도 창원시 마산회원구 양덕북12길 38(양덕동.개나리유치원),35.235039,128.5856858
명곡유치원,경상남도 창원시 의창구 원이대로219번길 12(명서동),35.2470313,128.6445756
진해배화유치원,경상남도 창원시 진해구 남의로116번길 25(두동),35.1143713,128.7963023
바른나무유치원,경상남도 창원시 의창구 팔용로 448(팔용동),35.2550521,128.6143977
흥국유치원,경상남도 창원시 진해구 충무로 29-1(현동),35.1501525,128.6564677
행복가득동화유치원,경상남도 창원시 성산구 대정로 84(남양동. 피오르빌 아파트),35.2094608,128.7018979
이레유치원,경상남도 창원시 성산구 대정로 32(가음동),35.2069747,128.6984961
보람유치원,경상남도 창원시 성산구 충혼로201번길 7-20(반지동),35.2408305,128.664908
고요숲속샘터유치원,경상남도 창원시 의창구 동읍 동읍로 132(동읍),35.2871301,128.6790294
천사유치원,경상남도 창원시 마산회원구 구암서2길 110-1(구암동),35.2492399,128.5945218
꽃무지풀무지유치원,경상남도 창원시 성산구 창이대로707번길 8-15(사파동),35.2212787,128.7024644
성모유치원,경상남도 창원시 의창구 우곡로 177(명서동),35.2413218,128.6447381
미래로유치원,경상남도 창원시 진해구 충장로 575-1(풍호동),35.1382641,128.7050722
살레시오성미유치원,경상남도 창원시 의창구 의안로66번길 33(소답동),35.267812,128.6276502
푸른하늘유치원,경상남도 창원시 의창구 창이대로478번길 12-10(용호동.성심유치원),35.2377905,128.6857597
세화유치원,경상남도 창원시 마산회원구 양덕동14길 5(양덕동),35.231977,128.5867626
성아유치원,경상남도 창원시 성산구 원이대로773번길 25(사파동),35.2192576,128.6962353
숭림사부설참좋은유치원,경상남도 창원시 진해구 용원중로 11(용원동),35.0983523,128.8156806
명성유치원,경상남도 창원시 성산구 비음로91번길 21(사파동),35.2268462,128.7030155
성주유치원,경상남도 창원시 성산구 안민안길11번길 13(안민동),35.1867741,128.6899938
