,주유소명,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,총 가중치,주소,위도,경도
123,대학로self주유소,1,5,1,1,2,1.643,전북 전주시 덕진구 백제대로 600,35.8410194,127.1352862
124,예스주유소,1,5,1,2,2,1.777,전북 전주시 덕진구 사근1길 23-23 (송천동2가),35.8684957,127.1305519
125,비사벌주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 동부대로 600 (우아동3가),35.8501591,127.1601588
126,서림주유소,1,4,1,3,1,1.373,전북 전주시 덕진구 동부대로 850 (호성동1가),35.864005,127.1467104
127,(유)도원플러스주유소,1,4,1,5,3,2.647,전북 전주시 덕진구 동부대로 798 (호성동1가),35.8589814,127.1527419
128,(유)오송스마트주유소,1,4,1,5,3,2.647,전북 전주시 덕진구 동부대로 786,35.8584518,127.1557314
129,대림싼주유소,1,4,1,1,1,1.105,전북 전주시 덕진구 들사평서로 17,35.8375583,127.1202502
130,전주제일주유소,1,4,1,1,1,1.105,전북 전주시 완산구 거마평로 153,35.8060974,127.1164459
131,솔내주유소,1,4,1,2,1,1.239,전북 전주시 덕진구 시천로 25 (송천동1가),35.8614628,127.1145055
132,에코시티주유소,1,5,1,2,2,1.777,전북 전주시 덕진구 동부대로 1021 (송천동2가),35.8719799,127.1201996
133,로또주유소,1,4,1,5,1,1.641,전북 전주시 덕진구 온고을로 440 (만성동),35.842481,127.0743859
134,동부대로주유소,3,3,1,5,3,2.748,전북 전주시 덕진구 동부대로 988 (송천동2가),35.8721382,127.1041026
135,구도일주유소덕진,1,1,1,1,1,1,전라북도 전주시 덕진구  가련산로 39 (덕진동2가),35.8428603,127.1122349
136,두리주유소,1,1,1,1,1,1,전북 전주시 완산구 전주천동로 326 (태평동),35.823736,127.1384268
137,소망제일주유소,1,5,1,1,1,1.14,전북 전주시 완산구 쑥고개로 283,35.8015456,127.0961632
138,(유)오송 이레주유소,3,3,1,5,3,2.748,전북 전주시 덕진구 동부대로 985 (송천동2가),35.8719662,127.1048465
139,일진주유소,1,5,3,4,2,2.565,전북 전주시 완산구 우림로 1076,35.7824406,127.1071487
140,강남주유소,3,3,1,5,5,3.754,전북 전주시 덕진구 동부대로 1556,35.8776851,127.078187
