학교명,주소,위도,경도
동대초등학교병설유치원,울산광역시 북구 신천로 36(신천동),35.6410933,129.3496843
강동유치원,울산광역시 북구 달곡2길 38(무룡동. 강동유치원),35.6054105,129.428482
예빈유치원,울산광역시 중구 함월5길 17(성안동),35.5750075,129.3055453
동천초등학교병설유치원,울산광역시 북구 고래로 26(천곡동. 동천초등학교),35.631812,129.341243
민들레유치원,울산광역시 북구 양지길 28. 양지길 28 (상안동),35.6260416,129.3318902
병영초등학교병설유치원,울산광역시 중구 병영성13길 2(서동),35.5749775,129.345076
은월초등학교병설유치원,울산광역시 북구 당수골23길 7(호계동),35.6347618,129.3627323
고헌초등학교병설유치원,울산광역시 북구 화동로 129. 고헌초등학교 (송정동. 초등학교),35.6021501,129.3693622
강동초등학교,울산광역시 북구 화암4길 5(산하동. 강동초등학교),35.631299,129.435107
남목초등학교,울산광역시 동구 옥류로 33(서부동),35.5423784,129.4249604
남외초등학교,울산광역시 중구 남외3길 40(남외동. 남외초등학교),35.5657917,129.3485497
내황초등학교,울산광역시 중구 내황13길 53. 내황초등학교 (반구동),35.551932,129.348883
녹수초등학교,울산광역시 동구 봉수로 545. 녹수초등학교 (서부동. 녹수초등학교),35.5308807,129.4285988
중산초등학교,울산광역시 북구 신기18길 22(중산동 156. 중산초등학교),35.6494647,129.3524403
농서초등학교,울산광역시 북구 가재길 57(달천동. 농서초등학교),35.6314781,129.330494
농소초등학교,울산광역시 북구 호계로 192(호계동.농소초등학교),35.622063,129.356464
다운초등학교,울산광역시 중구 다운8길 5. 다운초등학교 (다운동),35.5618525,129.267025
다전초등학교,울산광역시 중구 다운로 176(다운동.다전초등학교),35.5677111,129.2684352
동부초등학교,울산광역시 동구 남목13길 23(동부동. 동부초등학교),35.545379,129.4278762
동천초등학교,울산광역시 북구 고래로 26(천곡동. 동천초등학교),35.631812,129.341243
매곡초등학교,울산광역시 북구 매곡1로 49(매곡동. 매곡초등학교),35.6442115,129.3501613
명덕초등학교,울산광역시 동구 진성14길 15. 명덕초등학교 (일산동),35.506073,129.4244675
명정초등학교,울산광역시 중구 명난로 115(태화동. 명정초등학교),35.55282,129.2892223
명촌초등학교,울산광역시 북구 명촌10길 11. 명촌초등학교 (명촌동.명촌초등학교),35.5530156,129.3569382
문현초등학교,울산광역시 동구 꽃바위6길 25(방어동. 문현초등학교),35.4809697,129.4139626
무룡초등학교,울산광역시 중구 약사로 50(약사동. 무룡초등학교),35.5698188,129.3348286
미포초등학교,울산광역시 동구 진성15길 35(일산동),35.5063768,129.4218605
방어진초등학교,울산광역시 동구 꽃바위로 341(방어동. 방어진초등학교. 방어진초등학교병설유치원),35.4875802,129.4246559
백양초등학교,울산광역시 중구 성안8길 10-5(성안동. 백양초등학교),35.5772065,129.3199965
병영초등학교,울산광역시 중구 병영성13길 2(서동. 병영초등학교),35.5749721,129.3450909
복산초등학교,울산광역시 중구 도화골15길 15(복산동. 복산초등학교),35.5633026,129.3309825
삼일초등학교,울산광역시 중구 동천5길 18-9(서동),35.5822537,129.3455551
상안초등학교,울산광역시 북구 천곡남로 59(천곡동. 상안초등학교),35.6341167,129.334188
상진초등학교,울산광역시 동구 봉수로 50(화정동.상진초등학교),35.4918851,129.4182121
서부초등학교,울산광역시 동구 봉수로 457. 서부초등학교 (서부동. 서부초등학교),35.5264645,129.4232383
성안초등학교,울산광역시 중구 함월14길 19(성안동. 성안초등학교),35.5762898,129.3122195
송정초등학교,울산광역시 북구 상방로 75(화봉동. 송정초등학교),35.5914557,129.3657973
화봉초등학교,울산광역시 북구 화산로 42(화봉동.화봉초등학교),35.5957608,129.3673249
신천초등학교,울산광역시 북구 호계로 349-7. 신천초등학교 (신천동. 신천초등학교),35.6337003,129.3474368
